domain_type,percentage
com,82.78688524590164
edu,5.584016393442623
org,3.9190573770491803
ca,2.1772540983606556
us,1.5368852459016393
net,1.2551229508196722
gov,1.1526639344262295
mil,0.2305327868852459
au,0.12807377049180327
aero,0.12807377049180327
uk,0.12807377049180327
co,0.10245901639344263
coop,0.10245901639344263
biz,0.07684426229508197
info,0.07684426229508197
se,0.05122950819672131
sg,0.05122950819672131
tv,0.05122950819672131
world,0.05122950819672131
jp,0.05122950819672131
ch,0.05122950819672131
cc,0.05122950819672131
io,0.025614754098360656
nl,0.025614754098360656
nyc,0.025614754098360656
dk,0.025614754098360656
crs,0.025614754098360656
tc,0.025614754098360656
tr>,0.025614754098360656
canon,0.025614754098360656
be,0.025614754098360656
,0.025614754098360656
